restaurant_id,name,city,cuisine_type,rating,avg_delivery_time,is_active,partner_since
31,Cake Walk - Ban,Bangalore,Chinese,2.7,29,True,2023-07-12
32,Dal Tadka House - Luc,Lucknow,Continental,4.2,53,True,2024-12-30
33,Paneer Point - Pun,Pune,South Indian,3.5,24,True,2023-05-15
34,BBQ Nation Lite - Mum,Mumbai,Biryani,3.2,43,True,2024-03-28
35,Veg Delight - Ahm,Ahmedabad,Healthy,4.3,41,True,2023-11-08
36,Spice Garden - Pun,Pune,South Indian,3.0,29,True,2023-11-11
37,Burger Barn - Del,Delhi,South Indian,3.5,27,True,2025-03-04
38,Momos Junction - Pun,Pune,North Indian,3.0,22,True,2024-06-09
39,Noodle Bar - Mum,Mumbai,South Indian,4.7,22,True,2024-11-14
40,Spice Garden - Pun,Pune,South Indian,4.7,33,True,2023-07-24
41,Dosa Corner - Che,Chennai,North Indian,2.7,37,False,2023-12-23
42,Sushi Spot - Mum,Mumbai,Healthy,4.4,35,True,2023-03-11
43,Dragon Wok - Kol,Kolkata,North Indian,3.8,32,False,2023-06-25
44,Veg Delight - Pun,Pune,North Indian,4.8,26,False,2024-05-31
45,Seafood Shack - Pun,Pune,Biryani,4.2,31,True,2023-04-20
46,Dosa Corner - Jai,Jaipur,Street Food,3.5,52,True,2023-04-26
47,Butter Chicken Co - Ahm,Ahmedabad,South Indian,3.6,53,True,2025-02-19
48,Sushi Spot - Pun,Pune,Healthy,4.2,25,True,2023-04-29
49,Wrap Republic - Del,Delhi,Continental,4.3,48,True,2024-02-22
50,Kebab King - Ahm,Ahmedabad,Street Food,3.0,24,True,2024-05-02
51,Rolls & More - Ban,Bangalore,North Indian,4.9,51,True,2024-02-10
52,Grill Master - Hyd,Hyderabad,South Indian,2.8,45,True,2024-08-27
53,Dragon Wok - Pun,Pune,Chinese,2.7,32,True,2024-09-01
54,Seafood Shack - Ahm,Ahmedabad,South Indian,3.1,47,True,2023-10-13
55,Butter Chicken Co - Pun,Pune,Continental,3.9,45,True,2024-11-13
56,Ice Cream Dreams - Ahm,Ahmedabad,Desserts,3.7,29,True,2023-04-21
57,Dragon Wok - Del,Delhi,Desserts,3.1,28,True,2025-01-25
58,Royal Biryani House - Jai,Jaipur,Desserts,4.1,31,True,2024-11-26
59,Chai & Chaat - Mum,Mumbai,Continental,4.0,24,True,2024-06-16
60,Butter Chicken Co - Hyd,Hyderabad,Desserts,3.0,51,True,2023-09-25
61,Paneer Point - Ban,Bangalore,Healthy,3.8,22,False,2023-05-02
62,Wrap Republic - Ban,Bangalore,Street Food,3.6,22,True,2024-07-24
63,Rolls & More - Jai,Jaipur,Fast Food,4.6,30,True,2023-05-18
64,Kebab King - Pun,Pune,Desserts,4.3,51,True,2024-12-02
65,Paneer Point - Hyd,Hyderabad,Desserts,3.8,30,True,2024-02-05
66,Green Bowl - Hyd,Hyderabad,Street Food,4.0,42,True,2023-10-19
67,Chai & Chaat - Mum,Mumbai,Continental,2.6,43,True,2025-01-29
68,Noodle Bar - Mum,Mumbai,Biryani,3.4,47,True,2024-01-01
69,Cake Walk - Ban,Bangalore,Italian,3.1,39,True,2024-12-05
70,Pizza Paradise - Jai,Jaipur,South Indian,3.3,21,True,2023-02-08
71,Grill Master - Che,Chennai,Street Food,3.9,46,True,2024-12-13
72,Momos Junction - Hyd,Hyderabad,Biryani,3.4,44,True,2023-04-11
73,Dal Tadka House - Ban,Bangalore,Italian,3.3,52,True,2024-11-14
74,Chai & Chaat - Mum,Mumbai,Fast Food,3.4,47,True,2024-10-12
75,Seafood Shack - Ahm,Ahmedabad,South Indian,4.5,54,True,2023-09-29
76,Royal Biryani House - Del,Delhi,Continental,3.5,34,True,2023-04-05
77,Salad Stop - Jai,Jaipur,South Indian,3.9,37,True,2025-03-31
78,Idli Factory - Ban,Bangalore,Italian,3.3,24,True,2023-11-06
79,Idli Factory - Kol,Kolkata,Street Food,4.1,40,True,2024-02-16
80,Green Bowl - Che,Chennai,Desserts,4.1,55,True,2023-01-20
81,Thali Express - Pun,Pune,Chinese,3.9,33,True,2025-01-30
82,Grill Master - Del,Delhi,Healthy,4.4,47,False,2025-01-14
83,Thali Express - Mum,Mumbai,Italian,3.4,29,True,2025-02-03
84,Rolls & More - Kol,Kolkata,Street Food,3.5,24,True,2024-02-27
85,Green Bowl - Kol,Kolkata,Chinese,3.1,35,True,2023-04-27
86,Burger Barn - Del,Delhi,Italian,4.4,39,True,2024-07-27
87,Cake Walk - Ban,Bangalore,North Indian,3.0,37,True,2023-09-22
88,Dal Tadka House - Kol,Kolkata,Healthy,2.9,22,False,2024-05-12
89,Dal Tadka House - Mum,Mumbai,South Indian,3.3,39,True,2024-02-21
90,Veg Delight - Ban,Bangalore,South Indian,3.5,28,True,2024-08-07
91,Coffee Culture - Hyd,Hyderabad,South Indian,3.8,53,True,2023-04-03
92,Pasta Palace - Che,Chennai,Biryani,3.3,44,True,2025-01-31
93,Pasta Palace - Luc,Lucknow,Italian,2.8,31,True,2023-10-09
94,Grill Master - Ban,Bangalore,Continental,2.6,54,True,2023-04-26
95,Chai & Chaat - Hyd,Hyderabad,Desserts,4.1,37,True,2023-05-29
96,Sushi Spot - Ban,Bangalore,Biryani,4.5,21,True,2024-09-12
97,Royal Biryani House - Jai,Jaipur,North Indian,4.2,35,True,2024-01-29
98,Kebab King - Che,Chennai,Biryani,4.7,27,True,2023-08-31
99,Seafood Shack - Ban,Bangalore,North Indian,4.7,45,False,2023-09-19
100,Kebab King - Mum,Mumbai,Italian,3.2,30,True,2024-10-08
101,Chai & Chaat - Jai,Jaipur,Street Food,4.4,37,True,2025-03-09
102,Momos Junction - Ban,Bangalore,Street Food,4.7,41,True,2023-04-13
103,Paratha Plaza - Mum,Mumbai,Fast Food,3.7,42,True,2025-01-16
104,Paratha Plaza - Hyd,Hyderabad,Biryani,3.6,21,True,2024-10-18
105,Thali Express - Del,Delhi,Desserts,4.4,28,True,2023-07-24
106,Thali Express - Del,Delhi,Continental,2.7,30,True,2024-12-31
107,Butter Chicken Co - Jai,Jaipur,Chinese,4.5,46,True,2023-11-24
108,Grill Master - Ban,Bangalore,Chinese,3.1,40,True,2023-07-23
109,Pizza Paradise - Ban,Bangalore,Chinese,3.4,44,False,2024-08-07
110,Pasta Palace - Mum,Mumbai,North Indian,4.7,34,True,2024-04-18
111,Tandoori Nights - Del,Delhi,Chinese,2.6,47,True,2023-06-02
112,Pizza Paradise - Ahm,Ahmedabad,Chinese,4.8,27,True,2024-06-22
113,Cake Walk - Kol,Kolkata,Desserts,4.5,51,True,2024-12-31
114,Tandoori Nights - Del,Delhi,Fast Food,3.2,51,True,2024-03-17
115,Seafood Shack - Del,Delhi,Italian,4.9,38,True,2023-07-13
116,Cake Walk - Del,Delhi,Chinese,2.6,36,True,2024-04-06
117,BBQ Nation Lite - Del,Delhi,Continental,4.1,49,True,2024-04-25
118,Burger Barn - Jai,Jaipur,Street Food,4.1,44,True,2025-01-23
119,Ice Cream Dreams - Del,Delhi,South Indian,3.8,23,True,2023-08-29
120,Momos Junction - Luc,Lucknow,Continental,4.8,22,True,2024-05-31
121,Ice Cream Dreams - Ban,Bangalore,Street Food,4.1,28,False,2024-07-26
122,Royal Biryani House - Hyd,Hyderabad,Fast Food,2.9,51,False,2024-04-24
123,Burger Barn - Mum,Mumbai,Healthy,3.5,36,True,2023-02-15
124,Burger Barn - Hyd,Hyderabad,Fast Food,4.3,47,True,2023-09-27
125,Ice Cream Dreams - Kol,Kolkata,Fast Food,3.7,47,True,2023-11-20
126,Coffee Culture - Ahm,Ahmedabad,Chinese,3.8,48,True,2023-06-02
127,Royal Biryani House - Del,Delhi,North Indian,3.6,30,True,2024-03-22
128,Dragon Wok - Ahm,Ahmedabad,Desserts,2.6,42,False,2024-07-28
129,Momos Junction - Ban,Bangalore,South Indian,4.5,29,True,2023-04-06
130,Tandoori Nights - Jai,Jaipur,Chinese,4.5,52,True,2024-07-30
131,Veg Delight - Che,Chennai,Italian,3.9,20,True,2024-08-07
132,Dosa Corner - Ban,Bangalore,South Indian,3.1,51,True,2023-12-03
133,Spice Garden - Del,Delhi,South Indian,3.4,26,True,2023-06-07
134,Spice Garden - Mum,Mumbai,Desserts,3.6,37,True,2023-01-06
135,Chai & Chaat - Ahm,Ahmedabad,Continental,4.8,40,False,2025-01-21
136,BBQ Nation Lite - Ahm,Ahmedabad,Continental,2.8,23,True,2023-10-17
137,Chai & Chaat - Kol,Kolkata,South Indian,3.8,44,True,2023-09-19
138,Dosa Corner - Del,Delhi,Street Food,2.7,33,True,2025-03-09
139,Wrap Republic - Del,Delhi,Chinese,2.8,51,True,2025-01-23
140,Dal Tadka House - Luc,Lucknow,Continental,2.8,26,True,2024-06-08
141,Tandoori Nights - Ban,Bangalore,Street Food,3.6,47,True,2024-03-08
142,Dal Tadka House - Ban,Bangalore,Chinese,3.5,47,True,2024-06-09
143,Chai & Chaat - Ahm,Ahmedabad,Italian,4.1,29,False,2024-06-23
144,Thali Express - Che,Chennai,South Indian,3.2,47,True,2025-03-31
145,Momos Junction - Del,Delhi,Chinese,4.1,39,True,2024-06-19
146,Cake Walk - Del,Delhi,North Indian,3.8,22,True,2024-06-06
147,Cake Walk - Ban,Bangalore,Desserts,4.1,36,True,2024-08-22
148,Pizza Paradise - Kol,Kolkata,North Indian,2.8,49,True,2023-07-06
149,Paratha Plaza - Ban,Bangalore,South Indian,3.5,39,True,2025-01-11
150,Grill Master - Pun,Pune,Desserts,4.0,36,True,2023-07-11
151,Tandoori Nights - Del,Delhi,Continental,3.1,26,True,2023-01-19
152,Spice Garden - Ban,Bangalore,North Indian,2.9,50,True,2024-02-19
153,Seafood Shack - Che,Chennai,Continental,4.2,39,True,2024-09-23
154,Sushi Spot - Pun,Pune,Street Food,4.4,25,True,2023-01-15
155,Tandoori Nights - Mum,Mumbai,North Indian,4.2,32,True,2023-08-03
156,Momos Junction - Che,Chennai,Italian,3.5,54,True,2023-11-05
157,Butter Chicken Co - Ban,Bangalore,Desserts,3.5,27,True,2023-06-06
158,Coffee Culture - Pun,Pune,Desserts,3.6,48,True,2023-07-26
159,Kebab King - Hyd,Hyderabad,Street Food,2.6,20,True,2024-12-31
160,Cake Walk - Ahm,Ahmedabad,Desserts,4.3,55,False,2023-02-07
161,Momos Junction - Ban,Bangalore,Healthy,3.9,51,True,2023-03-04
162,Idli Factory - Mum,Mumbai,Continental,3.3,24,True,2024-10-25
163,Cake Walk - Jai,Jaipur,South Indian,3.7,42,True,2024-03-22
164,Spice Garden - Mum,Mumbai,Italian,3.6,48,True,2023-08-13
165,Noodle Bar - Luc,Lucknow,Biryani,4.7,49,True,2023-10-28
166,Coffee Culture - Pun,Pune,Street Food,4.5,43,True,2025-03-29
167,Seafood Shack - Mum,Mumbai,Italian,3.2,25,True,2023-05-13
168,Dosa Corner - Del,Delhi,Continental,3.7,46,False,2024-05-20
169,Kebab King - Del,Delhi,Healthy,2.6,21,True,2023-09-25
170,Sushi Spot - Che,Chennai,Chinese,4.5,52,True,2023-03-07
171,Chai & Chaat - Ban,Bangalore,Continental,3.0,55,True,2023-09-22
172,Chai & Chaat - Kol,Kolkata,North Indian,4.3,55,True,2023-06-04
173,Seafood Shack - Pun,Pune,Healthy,4.0,26,True,2024-03-24
174,Dal Tadka House - Ban,Bangalore,South Indian,4.8,26,True,2023-02-12
175,Idli Factory - Mum,Mumbai,South Indian,4.6,43,True,2023-10-27
176,Salad Stop - Ban,Bangalore,Healthy,3.7,26,True,2024-01-08
177,Chai & Chaat - Kol,Kolkata,South Indian,4.5,48,False,2025-02-26
178,Butter Chicken Co - Mum,Mumbai,Desserts,3.3,52,True,2023-09-30
179,Sushi Spot - Pun,Pune,Street Food,3.4,35,True,2025-02-10
180,Idli Factory - Ban,Bangalore,Italian,2.8,47,True,2024-02-24
181,Veg Delight - Ban,Bangalore,Healthy,4.4,43,False,2024-03-29
182,Burger Barn - Kol,Kolkata,Healthy,4.8,25,True,2024-02-16
183,Butter Chicken Co - Mum,Mumbai,North Indian,3.4,22,True,2024-10-18
184,Burger Barn - Luc,Lucknow,North Indian,4.8,53,False,2024-03-05
185,Wrap Republic - Jai,Jaipur,Healthy,4.6,40,True,2023-01-09
186,Paratha Plaza - Del,Delhi,Healthy,4.0,29,True,2024-04-01
187,Thali Express - Del,Delhi,Healthy,4.0,48,True,2025-03-11
188,Thali Express - Ban,Bangalore,Italian,4.6,25,True,2023-12-09
189,Wrap Republic - Pun,Pune,Chinese,3.7,54,True,2023-04-06
190,Idli Factory - Hyd,Hyderabad,Healthy,3.3,30,True,2025-03-26
191,Paneer Point - Che,Chennai,Italian,4.5,39,True,2024-06-01
192,Dragon Wok - Pun,Pune,Biryani,3.1,52,True,2023-02-18
193,Butter Chicken Co - Che,Chennai,South Indian,3.6,20,True,2023-08-30
194,Dal Tadka House - Pun,Pune,Continental,3.9,54,True,2023-08-28
195,Sushi Spot - Del,Delhi,Continental,4.1,44,True,2023-09-11
196,Dragon Wok - Del,Delhi,Continental,3.0,43,True,2023-05-31
197,Salad Stop - Ban,Bangalore,Street Food,2.7,23,True,2023-05-14
198,Momos Junction - Del,Delhi,South Indian,3.4,53,True,2024-07-26
199,Idli Factory - Kol,Kolkata,Fast Food,3.9,47,False,2024-12-06
200,BBQ Nation Lite - Luc,Lucknow,Street Food,4.5,29,True,2024-05-11
